Month,Year,YYYYMM,SACR_205,COWC_211,BATT_220,COTT_NF,COTT_MF,COTT_SF,PAYS_225,ANTL_233,MILL_243,ELDE_237,THOM_248,DEER_256,STON_263,STON_NF,STON_SF,BIGC_269,BUTT_283,FEAT_341,YUBA_349,BEAR_357,CACH_390,CACH_Low,AMER_374,PUTA_400,CONS_188,DRYC_182,MOKE_173,CALV_161,STAN_146,TUOL_135,ORIS_128,MERC_116,BEAR_105,DEAD_093,"CHOW_080,MADC_080","FRES_069,MADC_069",SANJ_054,KING_023,KAWE_420,TULE_010,KERN_001,FKWI_024,FKWT_011,FKWK_421,"CVCK_004,FKCK_004",LOSG_999,WHIT_999,CLEA_999,DELP_999,CANT_999,PANO_999,LPAN_999,LBAN_999,HOSP_999,INGR_999,DMC,Cal_Aq,Deer,Poso,Zapato,Honcut,Mendota
8,1922,192208,8521559.083,63712.59127,517664.8041,21542.81992,21542.81992,18197.90888,1752.09626,237886.8877,242904.2542,19910.18477,4698.803606,454390.2369,207065.9216,331385.1154,1551680.34,123443.1456,459208.5016,4243178.938,1265411.703,34962.28446,1156821.556,1061889.795,876804.717,0,29865.27716,0,404734.2361,159.2814782,40138.9325,141760.5156,0,617494.4705,0,0,0,15928.14782,3378877.817,2832860.91,360414.1648,14016.77008,1475424.332,0,0,0,0,0,1672.455521,109466.1959,0,0,0,0,0,0,0,0,0,6610.181344,0,0,9955.092386,0
9,1922,192209,8311838.47,111098.831,518461.2115,12220.87141,12220.87141,5801.827843,4608.544102,220387.1626,222197.6621,20573.8576,370.3294368,409296.3231,185164.7184,311940.8289,1447494.325,115213.6026,392878.3847,3822046.674,718974.0276,48060.53135,800405.356,738848.3741,646142.5717,0,9752.008502,0,314121.6578,0,8064.952179,183107.3326,0,249725.4835,0,0,0,4114.77152,1784452.965,1084900.659,189279.4899,4320.510096,978410.3719,0,0,0,0,0,452.6248672,51804.97343,0,0,0,0,0,0,0,0,0,1975.090329,0,0,8641.020191,0
10,1922,192210,9238325.734,242904.2542,505718.6932,27276.95314,27276.95314,22498.50879,24529.34764,287104.8644,246886.2912,19910.18477,44558.99352,412937.2322,81631.75757,109545.8366,531920.4964,103532.9608,434519.8725,4039975.592,882578.6706,132123.9862,308727.3251,171227.589,1220573.967,0,45036.83796,0,318801.8786,9238.325734,204198.855,194880.8886,0,230400.6582,0,0,0,3982.036955,1270030.866,569272.003,162825.4911,22418.86805,707369.0446,0,0,0,0,0,995.5092386,200933.5847,0,0,0,0,0,0,0,0,0,2150.299955,0,0,69685.6467,0
11,1922,192211,10492667.38,748888.4166,650133.9001,119657.5558,119657.5558,116571.4772,131343.5069,567920.7651,485543.0393,41147.7152,210305.9724,755184.017,440280.5526,30901.93411,494513.2412,201623.8045,785756.7694,5837132.582,2298840.553,444765.6536,134511.881,116283.4431,2607613.007,541586.2274,492620.4463,41641.48778,439745.6323,228205.2285,771025.8874,928991.966,0,658898.3634,41147.7152,32918.17216,43822.31668,94639.74495,1745732.965,961745.5473,321240.2125,90854.15515,815835.7492,0,0,0,0,0,10286.9288,428018.5335,0,0,0,0,0,0,0,0,0,17199.74495,0,0,202858.2359,0
12,1922,192212,13379644.17,1596796.819,935778.6843,272212.0462,272212.0462,265641.6852,614547.7632,1780050.159,1525120.154,159281.4782,1149056.584,2519554.242,1433533.304,0,712784.6149,637125.9127,2261478.427,15256338.36,12281716.94,4306214.583,1465349.779,1436440.191,15885619.66,5604517.912,4147689.692,392907.5863,2342672.161,2558657.845,3048328.929,4169710.356,0,2320651.496,497754.6193,398203.6955,552866.0108,708802.5779,3653120.702,2700657.283,807517.274,319279.723,1126279.332,0,0,0,0,54195.52295,50970.07302,1640161.201,0,18397.01073,12941.6201,33847.31411,0,0,0,0,0,502891.447,0,33727.853,722739.7072,0
1,1923,192301,15888327.45,2512665.318,1174700.902,351773.1446,351773.1446,362922.848,313505.7694,967953.5429,824281.6496,159281.4782,1130221.549,1364444.962,1274251.825,0,378293.5107,346437.215,1352936.876,12352477.73,6870526.921,2899958.232,1025055.953,755432.2306,10682610.54,2167621.816,3036104.076,241789.2839,1840019.636,1323151.239,3009145.686,4199097.789,0,2610065.942,557485.1736,445988.1389,638081.6016,661018.1344,2771657.002,2237665.846,606225.306,205672.2087,1069734.407,0,0,0,0,90352.4185,44399.71204,1707616.907,0,30661.68455,21622.46066,56146.72106,0,0,0,0,0,212521.3123,0,56226.3618,384664.7698,0
2,1923,192302,13755093.37,2539401.852,1190344.618,373812.2969,373812.2969,359660.422,140725.186,608486.5341,520224.685,132260.5131,678716.8666,854358.828,661302.5657,0,74947.62411,216025.5048,945750.8426,8880543.981,5005002.338,1691656.05,928116.1075,676997.4799,7732214.119,1019067.254,1990344.375,122693.6693,1470296.038,1160321.482,1575354.972,2918769.091,352694.7017,2212189.343,396781.5394,317425.2315,449773.9183,471729.1635,3094851.92,2425701.898,660817.6104,264432.8526,1133648.945,0,0,0,0,52507.42371,35357.64384,1094323.486,0,17811.08244,12564.74875,32624.25991,352694.7017,0,0,0,0,243050.7363,0,32668.34674,238068.9236,0
3,1923,192303,13260183.06,1831736.999,1087096.089,177200.6445,177200.6445,164418.3059,107913.2015,549600.7405,469880.3606,119461.1086,406446.5119,778328.9431,360374.3444,0,139371.2934,195119.8108,854226.5675,12075805.81,5755118.549,1214481.451,289334.8051,195279.0922,8679805.231,370448.8979,1575333.64,80596.42796,1726173.199,418671.3654,1477415.351,572417.8122,39820.36955,2223211.052,179191.663,143353.3304,194164.1219,318562.9564,3819609.667,3234409.516,883175.9761,234303.0544,1249204.813,0,0,0,0,18038.6274,29825.45679,692595.6875,0,6132.33691,4300.599911,11149.70347,39820.36955,0,0,0,0,170709.9242,0,11229.34421,187952.1443,0
4,1923,192304,24277151.97,1341415.515,1098643.996,446082.3804,446082.3804,376007.8215,141013.22,1220605.824,1041037.194,205738.576,1455353.539,1713555.452,1141849.097,47155.28162,886033.7513,436165.7811,1617434.389,23199164.12,16787609.44,2951361.02,1409597.279,802092.4123,23289730.24,1292038.257,4052185.845,187386.695,5239708.905,812873.1137,5753643.868,3114429.416,0,6522694.665,617215.7279,493772.5824,682146.8225,1209742.827,8194978.959,8569587.758,2759406.929,1123579.511,3018966.716,0,0,0,0,51352.34857,97561.23273,2012123.273,0,17405.48353,12303.16684,32095.21785,0,0,0,0,0,286346.9501,0,31930.62699,291325.8236,0
5,1923,192305,14215871.93,860119.9822,1063203.867,239200.9599,239200.9599,190540.4683,29865.27716,590615.7211,501736.6563,79640.73909,447103.1093,824281.6496,260823.4205,129256.9195,806481.9444,211047.9586,952981.084,15361623.42,16376883.56,846342.1343,334212.3616,366665.9628,24391529.34,179470.4055,1613521.374,50372.76747,8954008.296,299449.179,9996306.469,3329142.175,0,11468584.99,139371.2934,111497.0347,156932.0764,573413.3214,17915383.36,19972065.63,4402340.955,608694.1689,4813685.372,0,0,0,0,6769.462823,70203.31151,493692.9416,0,2269.761064,1592.814782,4380.24065,0,0,0,0,0,166170.4021,0,4181.138802,70880.25779,0
